epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8146,1.47221,3.11974,1.83233,0.76563,0.82775,0.91528,0.57378,1.36403,1.16606,1.72854,0.000411765,0.000411765,0.000411765
2,97.4324,1.40239,0.99733,1.70825,0.74447,0.43285,0.6346,0.34236,1.83742,2.3891,2.07196,0.000746417,0.000746417,0.000746417
3,131.267,1.39589,0.90809,1.66586,0.65804,0.85938,0.80357,0.42834,1.75879,0.96688,2.01548,0.000998569,0.000998569,0.000998569
4,165.97,1.3997,0.78991,1.68054,0.85711,0.8826,0.85285,0.42696,1.8273,1.12307,1.89246,0.00087875,0.00087875,0.00087875
5,199.666,1.32974,0.72392,1.62448,0.90688,0.87933,0.92999,0.57361,1.50246,0.89076,1.64001,0.000755,0.000755,0.000755
6,233.422,1.27945,0.67692,1.59677,0.98585,1,0.995,0.66052,1.41689,0.58935,1.62098,0.00063125,0.00063125,0.00063125
7,268.609,1.23122,0.62789,1.5233,0.95004,0.92105,0.9784,0.62984,1.48545,0.66013,1.65652,0.0005075,0.0005075,0.0005075
8,301.754,1.18553,0.53629,1.50043,0.99425,1,0.995,0.6868,1.35657,0.47652,1.56075,0.00038375,0.00038375,0.00038375
9,336.742,1.12546,0.49438,1.46282,0.98938,1,0.995,0.67997,1.35685,0.48626,1.55853,0.00026,0.00026,0.00026
10,370.937,1.09081,0.48102,1.43211,0.99168,1,0.995,0.72875,1.27807,0.45905,1.5341,0.00013625,0.00013625,0.00013625
